"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"193","IFNAR2",66.0320814936657,1.19474559708998,0.233431963834263,1.58801372427664e-08,2.15961469865937e-07,"ENSG00000159110"
"194","PDE1C",58.7892810322535,1.19119364187717,0.187470371795575,1.40578306157457e-11,3.14748555766684e-10,"ENSG00000154678"
"195","SEMA3A",55.0843502388082,1.19094894696928,0.203942132677015,3.18336516477373e-10,5.80681929347378e-09,"ENSG00000075213"
"196","PBX4",76.5791145244196,1.19061298060784,0.159092747050043,5.65523962063836e-15,2.04503006035597e-13,"ENSG00000105717"
"197","SCN1B",124.624391854394,1.19019388033603,0.175351247686322,8.18113273390186e-13,2.22077819436365e-11,"ENSG00000105711"
"198","PTGDR",149.57257493946,1.18793225588534,0.201396431324609,2.25527382333435e-10,4.24172890209575e-09,"ENSG00000168229"
"199","PDE4B",8558.22939673401,1.18631186616776,0.122249889021164,2.67844957137439e-23,2.64409502990935e-21,"ENSG00000184588"
"200","CCRL2",9923.47009426316,1.18413977230077,0.121757960952954,2.17317367151245e-23,2.18123031536781e-21,"ENSG00000121797"
"201","CLEC2D",217.397185767884,1.18185505673863,0.161160535694045,1.71929638827006e-14,5.84731280744543e-13,"ENSG00000069493"
"202","CECR2",74.6158862155731,1.1814042293013,0.162057165898821,2.36134937859875e-14,7.79889643885198e-13,"ENSG00000099954"
"203","DUSP16",1839.67152063258,1.17936923920632,0.162729596602616,3.21670922089743e-14,1.04765008360498e-12,"ENSG00000111266"
"204","ACOX3",936.430755741907,1.17843987623626,0.0859678382169714,9.4547377743344e-44,1.14435696732179e-40,"ENSG00000087008"
"205","RIPK2",3881.61477864924,1.17670969252005,0.105616690983741,7.71829870689809e-30,1.78440128306893e-27,"ENSG00000104312"
"206","RBM43",60.6916296672915,1.17649486430321,0.145175147563852,4.39801651959187e-17,2.06135735551532e-15,"ENSG00000184898"
"207","KLLN",51.5421677675769,1.17486515379206,0.137465117964711,1.08567712259894e-18,6.17096477198776e-17,"ENSG00000227268"
"208","HECW2",237.487138428141,1.17107074782728,0.136228638425338,7.06209061249581e-19,4.11641859611087e-17,"ENSG00000138411"
"209","TDRD7",1453.97338479681,1.17068416356838,0.120465174406556,2.32535649227104e-23,2.32264733907616e-21,"ENSG00000196116"
"210","POPDC2",190.361192147419,1.17008155447872,0.174387736528265,1.36429608464985e-12,3.58973864932933e-11,"ENSG00000121577"
"211","SRGAP3",106.874238692931,1.16831466377723,0.159882663493089,2.06285004617351e-14,6.92417659870575e-13,"ENSG00000196220"
"212","TNFAIP6",11714.9202565443,1.16736645264386,0.167264309426332,2.15345804710187e-13,6.3209062449598e-12,"ENSG00000123610"
"213","ADTRP",1341.24008486359,1.1564419816436,0.191920462264273,1.03651362882622e-10,2.05663494953985e-09,"ENSG00000111863"
"214","BCL2A1",10398.6701204657,1.15108245115914,0.0975305384068163,3.76206031590941e-33,1.1728508039417e-30,"ENSG00000140379"
"215","PI4K2B",998.122714044135,1.14914879143042,0.115412622355519,2.16695396511202e-24,2.53336618103096e-22,"ENSG00000038210"
"216","KLHL21",5358.41494298452,1.14694829905885,0.122672294812411,7.81145764317364e-22,6.56034908024248e-20,"ENSG00000162413"
"217","NT5C3A",499.627979862023,1.14500114827606,0.198636075662116,4.73911367404948e-10,8.47193770262746e-09,"ENSG00000122643"
"218","GBP5",586.091944570502,1.14279315027683,0.304307643433358,5.65717927096788e-06,4.84403331999314e-05,"ENSG00000154451"
"219","SLC1A2",801.457273089471,1.13675909314319,0.158698696868112,5.69262814518041e-14,1.78282369429577e-12,"ENSG00000110436"
"220","NRP2",788.791288979655,1.12897565861558,0.154401298838876,1.91648965363e-14,6.48580445938996e-13,"ENSG00000118257"
"221","ARL5B",5183.54055867437,1.12612705018087,0.105610310125897,1.41285207029846e-27,2.40254910731084e-25,"ENSG00000165997"
"222","TTC39B",259.043538072963,1.12460926017384,0.204618956648024,2.07693891966003e-09,3.32564647923337e-08,"ENSG00000155158"
"223","UPB1",1014.86864327945,1.12176556884635,0.130844397660756,8.23222695163295e-19,4.77144511990985e-17,"ENSG00000100024"
"224","STON2",466.985229912537,1.12128165803272,0.189727411079076,1.98379364301555e-10,3.78299703416942e-09,"ENSG00000140022"
"225","MAMLD1",821.098347076857,1.11857937453469,0.17999009727801,3.14138111476843e-11,6.70508898521526e-10,"ENSG00000013619"
"226","LINC01465",116.33361659057,1.1181554908509,0.117741176559652,1.88333803144364e-22,1.72229170377709e-20,"ENSG00000221949"
"227","FAM117A",125.897274078495,1.115179287166,0.137335473013539,3.63012655404053e-17,1.72901583277634e-15,"ENSG00000121104"
"228","KCNA2",69.4186978413818,1.10902651483212,0.220311207695704,2.27874196625009e-08,3.0230428560646e-07,"ENSG00000177301"
"229","DUSP8",333.860894951168,1.10782454212897,0.147742283453496,4.66714012252449e-15,1.71178387096371e-13,"ENSG00000184545"
"230","C4orf45",157.328061018083,1.10490950961601,0.126396337618571,1.85957844626851e-19,1.19945724484078e-17,"ENSG00000164123"
"231","PTGER3",54.3468663154922,1.09492134781921,0.351153250771338,4.71414683615883e-05,0.000333327440896234,"ENSG00000050628"
"232","DDO",68.8069252241406,1.09150081805936,0.218946224275962,2.85179889399048e-08,3.71618834976239e-07,"ENSG00000203797"
"233","NEXN",120.8575163985,1.09074898114815,0.228382370973012,7.84054000641765e-08,9.52189965316739e-07,"ENSG00000162614"
"234","ZNF697",3973.4259459886,1.08565107503606,0.109279587429455,2.49051133948428e-24,2.83120228294081e-22,"ENSG00000143067"
"235","PLD1",1882.17220422517,1.0853358118234,0.132017257250487,1.5070822067669e-17,7.47222252685198e-16,"ENSG00000075651"
"236","PLEKHA5",242.872222560849,1.0815091252604,0.191655498187933,8.72604791106521e-10,1.48164843679968e-08,"ENSG00000052126"
"237","SPSB1",2671.02394437128,1.07847032099439,0.144471496576147,5.68925840978856e-15,2.05012576251855e-13,"ENSG00000171621"
"238","B3GNT2",2125.8704777978,1.07843352824358,0.119522900593781,1.4429324400308e-20,1.05657572548305e-18,"ENSG00000170340"
"239","MASTL",305.481959542871,1.07770083718053,0.138832157511706,5.8580036473329e-16,2.3774020324955e-14,"ENSG00000120539"
"240","MBNL1",10632.1781449885,1.07679791366048,0.0871866912376259,4.44720764043766e-36,1.90636967520095e-33,"ENSG00000152601"
"241","PGAP1",148.980263342669,1.07536517953835,0.13997478559395,1.08352629829333e-15,4.23048142574639e-14,"ENSG00000197121"
"242","ZNF341-AS1",116.244998061661,1.07533567076157,0.164703432900816,3.97589794713555e-12,9.79737439045043e-11,"ENSG00000230753"
"243","ZBTB10",1148.95383609183,1.0726484000067,0.131732239425033,2.79735791327309e-17,1.35751029300724e-15,"ENSG00000205189"
"244","SLFN5",3351.34806281617,1.07231046389565,0.156728126527528,4.87714395276396e-13,1.35794470868838e-11,"ENSG00000166750"
"245","PARP14",4490.64133913565,1.07199897564056,0.16870608404215,1.21668834751192e-11,2.76015208802704e-10,"ENSG00000173193"
"246","ABTB2",1955.35518656213,1.06615119401554,0.263394052749127,1.8512653471702e-06,1.74013868357122e-05,"ENSG00000166016"
"247","EPSTI1",3158.08650537231,1.06500959270764,0.222764841417243,7.47995964508892e-08,9.11235344330075e-07,"ENSG00000133106"
"248","ALPK2",106.072351961776,1.06157785501007,0.291188382905404,8.46699519197066e-06,6.96588936705271e-05,"ENSG00000198796"
"249","MFSD2A",2267.60870811631,1.06131626911389,0.109190868606212,1.96736937770602e-23,1.9843427605725e-21,"ENSG00000168389"
"250","CRIM1",1294.2112825169,1.06095061411122,0.221257743337096,6.96184271124016e-08,8.54185304868679e-07,"ENSG00000150938"
"251","BCAR3",469.270267480082,1.06022929711977,0.158311058709341,1.26863474268041e-12,3.35088940505677e-11,"ENSG00000137936"
"252","ADRB2",662.227730792326,1.05935408537519,0.162361646940901,3.96318911894431e-12,9.77776730352495e-11,"ENSG00000169252"
"253","ETV3L",127.944307272753,1.05874063531474,0.187968021709088,8.93418707477941e-10,1.51549738871114e-08,"ENSG00000253831"
"254","KCNK5",193.977453664212,1.056947717644,0.186528452789421,7.35951523783489e-10,1.26296401612753e-08,"ENSG00000164626"
"255","IL27",139.176246502641,1.05608108112154,0.210071327156975,2.22392205652009e-08,2.95794571654541e-07,"ENSG00000197272"
"256","MAP3K20",1631.64335724169,1.05504253123055,0.110451790253396,9.82123657581687e-23,9.22747779835653e-21,"ENSG00000091436"
"257","KAT2A",99.904090073264,1.04950934692235,0.135186180432495,5.46146746567722e-16,2.22966576535267e-14,"ENSG00000108773"
"258","PML",1602.93254481585,1.04339471872805,0.172758163735489,8.09062802046966e-11,1.6246604591654e-09,"ENSG00000140464"
"259","ADPGK-AS1",61.1805654667761,1.02664155545617,0.160698184423596,8.89724752353366e-12,2.05696365218234e-10,"ENSG00000260898"
"260","DUSP5",3909.26615423739,1.0264219119351,0.139432018122773,1.08615856609154e-14,3.77806957899217e-13,"ENSG00000138166"
"261","GNG4",56.9934672000244,1.02550141021169,0.226844037697061,2.40986143511908e-07,2.66444432504085e-06,"ENSG00000168243"
"262","CLIC2",147.18423509021,1.02295021445324,0.187206913619191,2.14050129094232e-09,3.41418252421932e-08,"ENSG00000155962"
"263","PLA2G4A",556.922576297825,1.02045212761995,0.118212837659547,3.95319852575311e-19,2.39943990754855e-17,"ENSG00000116711"
"264","GBP1",4297.05446985367,1.01361696926651,0.232496027661937,4.8873506377549e-07,5.09949932669599e-06,"ENSG00000117228"
"265","TNFAIP8",12229.1214842968,1.01357096300258,0.0943126613014942,4.4486537899732e-28,8.55471966191481e-26,"ENSG00000145779"
"266","SLC1A3",337.173985655298,1.00881732579374,0.128569526138899,2.54631573201841e-16,1.08474104559029e-14,"ENSG00000079215"
"267","ARMC2",221.477386837679,1.00025053690062,0.116769423194521,6.56866532911609e-19,3.84838469158498e-17,"ENSG00000118690"
"268","NFKBIA",48564.7897809557,0.999674305460889,0.083440995101261,3.24509962043283e-34,1.11285282983377e-31,"ENSG00000100906"
"269","CA13",282.667702282953,0.99965098727579,0.106051884173414,2.75471994317996e-22,2.46439641525525e-20,"ENSG00000185015"
"270","LSS",633.01498667384,0.998138930619158,0.0984432877261959,2.47255583578108e-25,3.28227799206655e-23,"ENSG00000160285"
"271","F8",212.469716493528,0.994278822277712,0.110530994321541,1.45461537933944e-20,1.05760304046955e-18,"ENSG00000185010"
"272","SAMD9",893.205619965453,0.991264943509283,0.225680507119909,4.16455476228688e-07,4.41245513845596e-06,"ENSG00000205413"
"273","EBI3",87.7450654741227,0.98905536765364,0.23051540940876,6.49221588730317e-07,6.6459618953806e-06,"ENSG00000105246"
"274","LINC00472",59.6778168426892,0.988170135774211,0.145909411913795,6.38884157193223e-13,1.75509751914656e-11,"ENSG00000233237"
"275","PLGRKT",370.497045818002,0.984541104161119,0.111166096145816,4.88845523300297e-20,3.30871233139043e-18,"ENSG00000107020"
"276","CCNB1",72.6738989635652,0.981037418207892,0.139275728459756,9.49825693836847e-14,2.88253886082403e-12,"ENSG00000134057"
"277","TNFRSF9",465.238915189404,0.980415067212459,0.166405552644391,1.71631842213939e-10,3.30974394132521e-09,"ENSG00000049249"
"278","NCR3LG1",641.345020386572,0.980120221241473,0.119935200057712,1.68628729687061e-17,8.30072904794488e-16,"ENSG00000188211"
"279","ETV7",132.970964369489,0.976168277931347,0.357472058117707,0.000159185506827622,0.00099317424520894,"ENSG00000010030"
"280","LINC02458",1326.4283966148,0.973482457440773,0.16310915408007,1.06913633504126e-10,2.11321318249845e-09,"ENSG00000246363"
"281","ANO5",344.5796042676,0.972204050991244,0.155348483045534,1.78542142662625e-11,3.92487513613906e-10,"ENSG00000171714"
"282","RASGRP1",79.6479522430363,0.971452226766658,0.162295951153734,9.58214905006825e-11,1.9104873919981e-09,"ENSG00000172575"
"283","PPP3CC",342.729148941018,0.971201110818219,0.09779340726859,1.81662532500775e-24,2.17319085391625e-22,"ENSG00000120910"
"284","FXYD6-FXYD2",77.9538739570161,0.970941569611119,0.22205781462365,4.47976338474901e-07,4.72211123998954e-06,"ENSG00000255245"
"285","PSD3",463.845647396776,0.968473712784452,0.139760194399978,2.04422013331952e-13,6.02605637008345e-12,"ENSG00000156011"
"286","LINC02574",95.536632140568,0.968310148128278,0.175128648651308,1.35208055449881e-09,2.2200579642778e-08,"ENSG00000233975"
"287","SAV1",702.595839845463,0.966287074377526,0.122253485125327,1.40483909828969e-16,6.17648916376255e-15,"ENSG00000151748"
"288","ATP2B1-AS1",3002.62436014066,0.965369950605487,0.113467597941199,9.55912161391241e-19,5.47878791999615e-17,"ENSG00000271614"
"289","VIM-AS1",1115.56583938684,0.965119384686346,0.0951129270956223,2.00429322029449e-25,2.69544688240388e-23,"ENSG00000229124"
"290","KCNJ2",6208.00624736277,0.963400652862466,0.172885633222842,1.05009579097624e-09,1.75522103940919e-08,"ENSG00000123700"
"291","LRP12",830.801666036364,0.960857379718112,0.154384778542604,2.15492581519974e-11,4.69203741519047e-10,"ENSG00000147650"
"292","SLAMF7",11514.384380048,0.958102691340123,0.169457872225163,6.54267994150835e-10,1.13413801580856e-08,"ENSG00000026751"
"293","CDK1",77.9126101281835,0.953730020378534,0.176287866975199,2.54342503327507e-09,3.97671075111458e-08,"ENSG00000170312"
"294","AK2",58.3782049196535,0.953593248424734,0.104842172889486,5.01852953094143e-21,3.88200239205455e-19,"ENSG00000004455"
"295","AMIGO2",75.1481753067466,0.949002992680912,0.137500427741836,2.33926620908233e-13,6.8467626626e-12,"ENSG00000139211"
"296","LAMB3",1656.90330074354,0.947207817763357,0.137554474703264,2.59627879686307e-13,7.56671848785476e-12,"ENSG00000196878"
"297","C10orf71",155.143029757332,0.946092704330667,0.242910124269211,3.29855285646984e-06,2.93941202142587e-05,"ENSG00000177354"
"298","BCL11A",1064.40794623458,0.945644740288701,0.147482556812545,6.23688826437126e-12,1.48016393226878e-10,"ENSG00000119866"
"299","KMO",2552.53050960564,0.943933546249636,0.0987979574568216,6.52117090882988e-23,6.1833922866398e-21,"ENSG00000117009"
"300","CFAP58",62.8093466605517,0.940502530777596,0.178319881444509,5.1934416616984e-09,7.69886567947452e-08,"ENSG00000120051"
"301","IGF2BP3",66.192944666799,0.940247473192679,0.213514113630465,3.81248540971403e-07,4.06454403058425e-06,"ENSG00000136231"
"302","LIPN",1309.47016064739,0.940182129620194,0.135497426326907,1.75978388354727e-13,5.22500911801856e-12,"ENSG00000204020"
"303","TMEM106A",582.024990264094,0.937321376081398,0.0864678808996224,1.18498587416301e-28,2.46285548957354e-26,"ENSG00000184988"
"304","MAP1LC3A",116.481562320131,0.936487893140478,0.129627775249469,2.25641654112287e-14,7.4763328100071e-13,"ENSG00000101460"
