"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"1014","ZNF121",329.112127824932,-0.301141054420429,0.104374548916589,0.000608312183595965,0.00327061183424891,"ENSG00000197961"
"1015","RMND5B",182.760024677187,-0.301005084428051,0.056888109726596,2.83708518329838e-08,3.69935771429324e-07,"ENSG00000145916"
"1016","SGTA",802.013868492444,-0.300936828432094,0.075320054641689,1.21877608871871e-05,9.73884924329176e-05,"ENSG00000104969"
"1017","RREB1",3287.34118680707,-0.300840266525579,0.0798386270675022,2.97417475976202e-05,0.000218014320829581,"ENSG00000124782"
"1018","FAM219B",108.885871540168,-0.300765400225711,0.104056580253289,0.000598978121958694,0.00322717303938782,"ENSG00000178761"
"1019","GOLGA1",249.499692940882,-0.300087526706278,0.0550189920582271,1.16865667772732e-08,1.62255599196473e-07,"ENSG00000136935"
"1020","BLOC1S2",515.966061451954,-0.299508676269856,0.0563115453740235,2.43422906655435e-08,3.21068572265527e-07,"ENSG00000196072"
"1021","CNOT8",713.502801806934,-0.299506668188076,0.0863141065267436,8.89680115002648e-05,0.000588051977073385,"ENSG00000155508"
"1022","EPN1",1554.09731493803,-0.299290157543842,0.0808555105811326,3.81990635270832e-05,0.000274339941058731,"ENSG00000063245"
"1023","TIMM17A",388.470486477084,-0.299214959669755,0.0675231728699407,1.90506661664257e-06,1.78175685018352e-05,"ENSG00000134375"
"1024","DHX8",1257.51682219411,-0.299103393243768,0.0831791810256124,5.65110665041076e-05,0.000392695611073461,"ENSG00000067596"
"1025","USP39",480.927965572813,-0.298864136523643,0.0695533323166043,3.43830714072718e-06,3.05468945283257e-05,"ENSG00000168883"
"1026","COQ9",107.856190399838,-0.298695798646135,0.0992738900908065,0.000415750564957315,0.00233155727025394,"ENSG00000088682"
"1027","MOSMO",178.752203419369,-0.298665547487731,0.115591444337653,0.00147763114933581,0.00714373555656337,"ENSG00000185716"
"1028","EXOG",88.233392890246,-0.298498060839323,0.0742771596932076,1.10442211851586e-05,8.90113180986379e-05,"ENSG00000157036"
"1029","TXLNA",948.120140143001,-0.297809404365676,0.0873489654715239,0.000110003539857006,0.000713341580869133,"ENSG00000084652"
"1030","ATXN7L3",1227.7375067226,-0.29719068836287,0.0531728274466704,5.44927744225635e-09,8.0433524140507e-08,"ENSG00000087152"
"1031","KLHL28",633.638175440375,-0.297147462782003,0.0818490530935665,4.96789211420421e-05,0.000349587373946189,"ENSG00000179454"
"1032","MED22",235.041598696547,-0.297107552475936,0.087344041064887,0.000113024727111713,0.000730860083296862,"ENSG00000148297"
"1033","RANBP3",708.423276488732,-0.296880159653838,0.0600589198436287,1.68397105913219e-07,1.90800597536916e-06,"ENSG00000031823"
"1034","ATG4D",155.146629195615,-0.296808818766142,0.0753260160949642,1.50959795933564e-05,0.000117934959470488,"ENSG00000130734"
"1035","RABIF",329.490439166923,-0.296688363518294,0.0519520229026036,2.71704584611607e-09,4.21931587393843e-08,"ENSG00000183155"
"1036","ZNF18",82.7656553041856,-0.296537327525522,0.0836813696116882,6.81994706953685e-05,0.000463432070352676,"ENSG00000154957"
"1037","HDAC4",2286.55521321247,-0.296130547851546,0.0705507800659098,5.23381260736677e-06,4.51155962334221e-05,"ENSG00000068024"
"1038","FOXN3",3078.21452362566,-0.295831483017196,0.0814713734104443,4.94885606727658e-05,0.000348366960110445,"ENSG00000053254"
"1039","C11orf24",126.964720473697,-0.295780584941316,0.105095093179618,0.000758029877968854,0.00396270903686157,"ENSG00000171067"
"1040","FBXL4",202.632890204539,-0.295763482023097,0.0911430273081781,0.000193043445873644,0.00118040473768086,"ENSG00000112234"
"1041","GPATCH1",62.3494394338887,-0.294969365449179,0.092907557099903,0.000243814490227929,0.00145538930981429,"ENSG00000076650"
