"Gene","Loading"
"S1014L",0.166024693307819
"S1029L",0.165904658956389
"S3019L",0.165840907728166
"S1015L",0.165775390692905
"S1047L",0.165748301457678
"S1070L",0.165706494521861
"S1025L",0.165623206036783
"S3032L",0.165597876497836
"S1077L",0.165573770238825
"S1012L",0.165485074527031
"S1031L",0.165400482395357
"S1088L",0.16539515379001
"S1010L",0.165348352352317
"S3007L",0.165308905001971
"S3028L",0.165277951749994
"S1067L",0.165262888420965
"S1084L",0.165246853795275
"S1032L",0.165192191682498
"S1071L",0.165131041675324
"S3018L",0.165118569672658
"S1018L",0.165097272369745
"S3031L",0.164954211779948
"S1045L",0.164942773238448
"S3016L",0.164817469560666
"S1034L",0.164787687020126
"S1060L",0.164550888958047
"S1052L",0.164492271422208
"S1003L",0.164408783160054
"S1068L",0.164104853915154
"S1061L",0.163601792937405
"S1064L",0.163569888413018
"S3013L",0.162686493548585
"S1056L",0.162346822759339
"S3005L",0.162321496811867
"S1022L",0.162087679696411
"S1051L",0.161647577694062
"S1055L",0.151733367204114
